Division,Product Name,State/Province,City,Sales,,Product Name,Total Sales,Percent of Sugar Sales
Chocolate,Wonka Bar - Fudge Mallows,Alabama,Decatur,28.8,,Everlasting Gobstopper,$30.00,20.88%
Chocolate,Wonka Bar - Fudge Mallows,Alabama,Hoover,7.2,,Fizzy Lifting Drinks,$26.25,18.27%
Chocolate,Wonka Bar - Fudge Mallows,Alberta,Edmonton,18,,Hair Toffee,$31.50,21.93%
Chocolate,Wonka Bar - Fudge Mallows,Arizona,Gilbert,39.6,,Laffy Taffy,$19.90,13.85%
Chocolate,Wonka Bar - Fudge Mallows,Arizona,Mesa,36,,Nerds,$6.00,4.18%
Chocolate,Wonka Bar - Fudge Mallows,Arizona,Phoenix,14.4,,SweeTARTS,$30.00,20.88%
Chocolate,Wonka Bar - Fudge Mallows,Arizona,Tempe,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,Arizona,Tucson,7.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Arkansas,Fayetteville,18,,,,
Chocolate,Wonka Bar - Fudge Mallows,Arkansas,Little Rock,25.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,Arkansas,Rogers,32.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,British Columbia,Vancouver,36,,,,
Chocolate,Wonka Bar - Fudge Mallows,California,Bakersfield,50.400000000000006,,,,
Chocolate,Wonka Bar - Fudge Mallows,California,Brentwood,28.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,California,Chico,18,,,,
Chocolate,Wonka Bar - Fudge Mallows,California,Coachella,7.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,California,Concord,39.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,California,Danville,25.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,California,Encinitas,18,,,,
Chocolate,Wonka Bar - Fudge Mallows,California,Fresno,25.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,California,Inglewood,43.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,California,La Mesa,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,California,Laguna Niguel,21.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,California,Lakewood,21.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,California,Long Beach,72,,,,
Chocolate,Wonka Bar - Fudge Mallows,California,Los Angeles,619.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,California,Oakland,3.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,California,Pasadena,25.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,California,Riverside,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,California,San Diego,54,,,,
Chocolate,Wonka Bar - Fudge Mallows,California,San Francisco,457.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,California,Santa Ana,25.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,California,Santa Barbara,25.2,,,,
Chocolate,Wonka Bar - Fudge Mallows,California,Stockton,14.4,,,,
Chocolate,Wonka Bar - Fudge Mallows,California,Sunnyvale,10.8,,,,
Chocolate,Wonka Bar - Fudge Mallows,California,Westminster,39.6,,,,
Chocolate,Wonka Bar - Fudge Mallows,California,Whittier,14.4,,,,
